code,city,area,provider,cost,remarks
AMI10000,Kota Mataram,Mataram,JNE OKE,22000,2 - 3 hari
AMI10011,Kota Mataram,Ampenan,JNE OKE,22000,2 - 3 hari
AMI10012,Kota Mataram,Cakranegara,JNE OKE,22000,2 - 3 hari
AMI20100,Kota Bima,Bima,JNE OKE,30000,3 - 6 hari
AMI20111,Kota Bima,Asakota,JNE OKE,30000,3 - 6 hari
AMI20112,Kota Bima,Rasanae Barat,JNE OKE,30000,3 - 6 hari
AMI20113,Kota Bima,Rasanae Timur,JNE OKE,30000,3 - 6 hari
AMI20114,Kota Bima,Raba,JNE OKE,30000,3 - 6 hari
AMI20115,Kota Bima,Mpunda,JNE OKE,30000,3 - 6 hari
AMI20200,Kab. Dompu,Dompu,JNE OKE,30000,3 - 6 hari
AMI20201,Kab. Dompu,Hu'u,JNE OKE,-,- hari
AMI20202,Kab. Dompu,Kempo,JNE OKE,-,- hari
AMI20203,Kab. Dompu,Kilo,JNE OKE,-,- hari
AMI20204,Kab. Dompu,Pajo,JNE OKE,-,- hari
AMI20205,Kab. Dompu,Pekat,JNE OKE,-,- hari
AMI20206,Kab. Dompu,Woja,JNE OKE,38000,4 - 7 hari
AMI20207,Kab. Dompu,Manggelewa,JNE OKE,38000,4 - 7 hari
AMI20300,Kab. Lombok Tengah,Praya,JNE OKE,30000,3 - 6 hari
AMI20301,Kab. Lombok Tengah,Batukliang,JNE OKE,38000,4 - 7 hari
AMI20302,Kab. Lombok Tengah,Janapria,JNE OKE,38000,4 - 7 hari
AMI20303,Kab. Lombok Tengah,Jonggat,JNE OKE,38000,4 - 7 hari
AMI20304,Kab. Lombok Tengah,Kopang,JNE OKE,38000,4 - 7 hari
AMI20305,Kab. Lombok Tengah,Praya Barat,JNE OKE,30000,3 - 6 hari
AMI20306,Kab. Lombok Tengah,Praya Timur,JNE OKE,30000,3 - 6 hari
AMI20307,Kab. Lombok Tengah,Pringgarata,JNE OKE,38000,4 - 7 hari
AMI20308,Kab. Lombok Tengah,Pujut,JNE OKE,38000,4 - 7 hari
AMI20310,Kab. Lombok Tengah,Batukliang Utara,JNE OKE,38000,4 - 7 hari
AMI20311,Kab. Lombok Tengah,Praya Barat Daya,JNE OKE,30000,3 - 6 hari
AMI20312,Kab. Lombok Tengah,Praya Tengah,JNE OKE,30000,3 - 6 hari
AMI20400,Kab. Lombok Timur,Selong,JNE OKE,30000,3 - 6 hari
AMI20401,Kab. Lombok Timur,Aikmel,JNE OKE,38000,4 - 7 hari
AMI20402,Kab. Lombok Timur,Keruak,JNE OKE,38000,4 - 7 hari
AMI20403,Kab. Lombok Timur,Mas Bagik,JNE OKE,38000,4 - 7 hari
AMI20404,Kab. Lombok Timur,Pringgabaya,JNE OKE,-,- hari
AMI20405,Kab. Lombok Timur,Sakra,JNE OKE,38000,4 - 7 hari
AMI20406,Kab. Lombok Timur,Sambelia,JNE OKE,-,- hari
AMI20407,Kab. Lombok Timur,Sikur,JNE OKE,38000,4 - 7 hari
AMI20408,Kab. Lombok Timur,Sukamulia,JNE OKE,38000,4 - 7 hari
AMI20409,Kab. Lombok Timur,Terara,JNE OKE,38000,4 - 7 hari
AMI20411,Kab. Lombok Timur,Jerowaru,JNE OKE,38000,4 - 7 hari
AMI20413,Kab. Lombok Timur,Montong Gading,JNE OKE,38000,4 - 7 hari
AMI20414,Kab. Lombok Timur,Pringgasela,JNE OKE,38000,4 - 7 hari
AMI20415,Kab. Lombok Timur,Sakra Barat,JNE OKE,38000,4 - 7 hari
AMI20416,Kab. Lombok Timur,Sakra Timur,JNE OKE,38000,4 - 7 hari
AMI20417,Kab. Lombok Timur,Sembalun,JNE OKE,-,- hari
AMI20418,Kab. Lombok Timur,Suela,JNE OKE,38000,4 - 7 hari
AMI20419,Kab. Lombok Timur,Suralaga,JNE OKE,38000,4 - 7 hari
AMI20420,Kab. Lombok Timur,Wanasaba,JNE OKE,38000,4 - 7 hari
AMI20421,Kab. Lombok Timur,Labuhan Haji,JNE OKE,38000,4 - 7 hari
AMI20500,Kab. Sumbawa,Sumbawa Besar,JNE OKE,30000,3 - 6 hari
AMI20501,Kab. Sumbawa,Alas,JNE OKE,38000,4 - 7 hari
AMI20502,Kab. Sumbawa,Batu Lanteh,JNE OKE,-,- hari
AMI20503,Kab. Sumbawa,Empang,JNE OKE,38000,4 - 7 hari
AMI20505,Kab. Sumbawa,Lape-Lopok,JNE OKE,38000,4 - 7 hari
AMI20506,Kab. Sumbawa,Lunyuk,JNE OKE,-,- hari
AMI20507,Kab. Sumbawa,Moyohilir,JNE OKE,38000,4 - 7 hari
AMI20508,Kab. Sumbawa,Moyohulu,JNE OKE,38000,4 - 7 hari
AMI20509,Kab. Sumbawa,Plampang,JNE OKE,38000,4 - 7 hari
AMI20510,Kab. Sumbawa,Ropang,JNE OKE,-,- hari
AMI20513,Kab. Sumbawa,Utan-Rhee,JNE OKE,38000,4 - 7 hari
AMI20514,Kab. Sumbawa,Alas Barat,JNE OKE,38000,4 - 7 hari
AMI20515,Kab. Sumbawa,Labangka,JNE OKE,-,- hari
AMI20516,Kab. Sumbawa,Labuhan Badas,JNE OKE,38000,4 - 7 hari
AMI20517,Kab. Sumbawa,Sumbawa,JNE OKE,30000,3 - 6 hari
AMI20800,Kab. Lombok Barat,Gerung,JNE OKE,30000,3 - 6 hari
AMI20801,Kab. Lombok Barat,Bayan,JNE OKE,-,- hari
AMI20802,Kab. Lombok Barat,Gangga,JNE OKE,-,- hari
AMI20803,Kab. Lombok Barat,Kediri,JNE OKE,38000,4 - 7 hari
AMI20804,Kab. Lombok Barat,Labu Api,JNE OKE,38000,4 - 7 hari
