"code","area","city","provider","cost","remarks"
"AMI10000","Kota Mataram","Mataram","JNE Reguler",25000,"1 - 2 hari"
"AMI10011","Kota Mataram","Ampenan","JNE Reguler",25000,"1 - 2 hari"
"AMI10012","Kota Mataram","Cakranegara","JNE Reguler",25000,"1 - 2 hari"
"AMI20100","Kota Bima","Bima","JNE Reguler",35000,"2 - 3 hari"
"AMI20111","Kota Bima","Asakota","JNE Reguler",35000,"2 - 3 hari"
"AMI20112","Kota Bima","Rasanae Barat","JNE Reguler",35000,"2 - 3 hari"
"AMI20113","Kota Bima","Rasanae Timur","JNE Reguler",35000,"2 - 3 hari"
"AMI20114","Kota Bima","Raba","JNE Reguler",35000,"2 - 3 hari"
"AMI20115","Kota Bima","Mpunda","JNE Reguler",35000,"2 - 3 hari"
"AMI20200","Kab. Dompu","Dompu","JNE Reguler",35000,"2 - 3 hari"
"AMI20201","Kab. Dompu","Hu'u","JNE Reguler",66000,"+ 10 hari"
"AMI20202","Kab. Dompu","Kempo","JNE Reguler",66000,"+ 10 hari"
"AMI20203","Kab. Dompu","Kilo","JNE Reguler",66000,"+ 10 hari"
"AMI20204","Kab. Dompu","Pajo","JNE Reguler",66000,"+ 10 hari"
"AMI20205","Kab. Dompu","Pekat","JNE Reguler",66000,"+ 10 hari"
"AMI20206","Kab. Dompu","Woja","JNE Reguler",44000,"3 - 6 hari"
"AMI20207","Kab. Dompu","Manggelewa","JNE Reguler",44000,"3 - 6 hari"
"AMI20300","Kab. Lombok Tengah","Praya","JNE Reguler",35000,"2 - 3 hari"
"AMI20301","Kab. Lombok Tengah","Batukliang","JNE Reguler",44000,"3 - 6 hari"
"AMI20302","Kab. Lombok Tengah","Janapria","JNE Reguler",44000,"3 - 6 hari"
"AMI20303","Kab. Lombok Tengah","Jonggat","JNE Reguler",44000,"3 - 6 hari"
"AMI20304","Kab. Lombok Tengah","Kopang","JNE Reguler",44000,"3 - 6 hari"
"AMI20305","Kab. Lombok Tengah","Praya Barat","JNE Reguler",35000,"2 - 3 hari"
"AMI20306","Kab. Lombok Tengah","Praya Timur","JNE Reguler",35000,"2 - 3 hari"
"AMI20307","Kab. Lombok Tengah","Pringgarata","JNE Reguler",44000,"3 - 6 hari"
"AMI20308","Kab. Lombok Tengah","Pujut","JNE Reguler",44000,"3 - 6 hari"
"AMI20310","Kab. Lombok Tengah","Batukliang Utara","JNE Reguler",44000,"3 - 6 hari"
"AMI20311","Kab. Lombok Tengah","Praya Barat Daya","JNE Reguler",35000,"2 - 3 hari"
"AMI20312","Kab. Lombok Tengah","Praya Tengah","JNE Reguler",35000,"2 - 3 hari"
"AMI20400","Kab. Lombok Timur","Selong","JNE Reguler",35000,"2 - 3 hari"
"AMI20401","Kab. Lombok Timur","Aikmel","JNE Reguler",44000,"3 - 6 hari"
"AMI20402","Kab. Lombok Timur","Keruak","JNE Reguler",44000,"3 - 6 hari"
"AMI20403","Kab. Lombok Timur","Mas Bagik","JNE Reguler",44000,"3 - 6 hari"
"AMI20404","Kab. Lombok Timur","Pringgabaya","JNE Reguler",66000,"+ 10 hari"
"AMI20405","Kab. Lombok Timur","Sakra","JNE Reguler",44000,"3 - 6 hari"
"AMI20406","Kab. Lombok Timur","Sambelia","JNE Reguler",66000,"+ 10 hari"
"AMI20407","Kab. Lombok Timur","Sikur","JNE Reguler",44000,"3 - 6 hari"
"AMI20408","Kab. Lombok Timur","Sukamulia","JNE Reguler",44000,"3 - 6 hari"
"AMI20409","Kab. Lombok Timur","Terara","JNE Reguler",44000,"3 - 6 hari"
"AMI20411","Kab. Lombok Timur","Jerowaru","JNE Reguler",44000,"3 - 6 hari"
"AMI20413","Kab. Lombok Timur","Montong Gading","JNE Reguler",44000,"3 - 6 hari"
"AMI20414","Kab. Lombok Timur","Pringgasela","JNE Reguler",44000,"3 - 6 hari"
"AMI20415","Kab. Lombok Timur","Sakra Barat","JNE Reguler",44000,"3 - 6 hari"
"AMI20416","Kab. Lombok Timur","Sakra Timur","JNE Reguler",44000,"3 - 6 hari"
"AMI20417","Kab. Lombok Timur","Sembalun","JNE Reguler",66000,"+ 10 hari"
"AMI20418","Kab. Lombok Timur","Suela","JNE Reguler",44000,"3 - 6 hari"
"AMI20419","Kab. Lombok Timur","Suralaga","JNE Reguler",44000,"3 - 6 hari"
"AMI20420","Kab. Lombok Timur","Wanasaba","JNE Reguler",44000,"3 - 6 hari"
"AMI20421","Kab. Lombok Timur","Labuhan Haji","JNE Reguler",44000,"3 - 6 hari"
"AMI20500","Kab. Sumbawa","Sumbawa Besar","JNE Reguler",35000,"2 - 3 hari"
"AMI20501","Kab. Sumbawa","Alas","JNE Reguler",44000,"3 - 6 hari"
"AMI20502","Kab. Sumbawa","Batu Lanteh","JNE Reguler",66000,"+ 10 hari"
"AMI20503","Kab. Sumbawa","Empang","JNE Reguler",44000,"3 - 6 hari"
"AMI20505","Kab. Sumbawa","Lape-Lopok","JNE Reguler",44000,"3 - 6 hari"
"AMI20506","Kab. Sumbawa","Lunyuk","JNE Reguler",66000,"+ 10 hari"
"AMI20507","Kab. Sumbawa","Moyohilir","JNE Reguler",44000,"3 - 6 hari"
"AMI20508","Kab. Sumbawa","Moyohulu","JNE Reguler",44000,"3 - 6 hari"
"AMI20509","Kab. Sumbawa","Plampang","JNE Reguler",44000,"3 - 6 hari"
"AMI20510","Kab. Sumbawa","Ropang","JNE Reguler",66000,"+ 10 hari"
"AMI20513","Kab. Sumbawa","Utan-Rhee","JNE Reguler",44000,"3 - 6 hari"
"AMI20514","Kab. Sumbawa","Alas Barat","JNE Reguler",44000,"3 - 6 hari"
"AMI20515","Kab. Sumbawa","Labangka","JNE Reguler",66000,"+ 10 hari"
"AMI20516","Kab. Sumbawa","Labuhan Badas","JNE Reguler",44000,"3 - 6 hari"
"AMI20517","Kab. Sumbawa","Sumbawa","JNE Reguler",35000,"2 - 3 hari"
"AMI20800","Kab. Lombok Barat","Gerung","JNE Reguler",35000,"2 - 3 hari"
"AMI20801","Kab. Lombok Barat","Bayan","JNE Reguler",66000,"+ 10 hari"
"AMI20802","Kab. Lombok Barat","Gangga","JNE Reguler",66000,"+ 10 hari"
"AMI20803","Kab. Lombok Barat","Kediri","JNE Reguler",44000,"3 - 6 hari"
"AMI20804","Kab. Lombok Barat","Labu Api","JNE Reguler",44000,"3 - 6 hari"
"AMI20805","Kab. Lombok Barat","Narmada","JNE Reguler",44000,"3 - 6 hari"
