code,city,area,provider,cost,remarks
AMI10000,Kota Mataram,Mataram,JNE YES,32000,1 hari
AMI10011,Kota Mataram,Ampenan,JNE YES,32000,1 hari
AMI10012,Kota Mataram,Cakranegara,JNE YES,32000,1 hari
AMI20100,Kota Bima,Bima,JNE YES,-,1 hari
AMI20111,Kota Bima,Asakota,JNE YES,-,1 hari
AMI20112,Kota Bima,Rasanae Barat,JNE YES,-,1 hari
AMI20113,Kota Bima,Rasanae Timur,JNE YES,-,1 hari
AMI20114,Kota Bima,Raba,JNE YES,-,1 hari
AMI20115,Kota Bima,Mpunda,JNE YES,-,1 hari
AMI20200,Kab. Dompu,Dompu,JNE YES,-,1 hari
AMI20201,Kab. Dompu,Hu'u,JNE YES,-,1 hari
AMI20202,Kab. Dompu,Kempo,JNE YES,-,1 hari
AMI20203,Kab. Dompu,Kilo,JNE YES,-,1 hari
AMI20204,Kab. Dompu,Pajo,JNE YES,-,1 hari
AMI20205,Kab. Dompu,Pekat,JNE YES,-,1 hari
AMI20206,Kab. Dompu,Woja,JNE YES,-,1 hari
AMI20207,Kab. Dompu,Manggelewa,JNE YES,-,1 hari
AMI20300,Kab. Lombok Tengah,Praya,JNE YES,-,1 hari
AMI20301,Kab. Lombok Tengah,Batukliang,JNE YES,-,1 hari
AMI20302,Kab. Lombok Tengah,Janapria,JNE YES,-,1 hari
AMI20303,Kab. Lombok Tengah,Jonggat,JNE YES,-,1 hari
AMI20304,Kab. Lombok Tengah,Kopang,JNE YES,-,1 hari
AMI20305,Kab. Lombok Tengah,Praya Barat,JNE YES,-,1 hari
AMI20306,Kab. Lombok Tengah,Praya Timur,JNE YES,-,1 hari
AMI20307,Kab. Lombok Tengah,Pringgarata,JNE YES,-,1 hari
AMI20308,Kab. Lombok Tengah,Pujut,JNE YES,-,1 hari
AMI20310,Kab. Lombok Tengah,Batukliang Utara,JNE YES,-,1 hari
AMI20311,Kab. Lombok Tengah,Praya Barat Daya,JNE YES,-,1 hari
AMI20312,Kab. Lombok Tengah,Praya Tengah,JNE YES,-,1 hari
AMI20400,Kab. Lombok Timur,Selong,JNE YES,-,1 hari
AMI20401,Kab. Lombok Timur,Aikmel,JNE YES,-,1 hari
